frame,time_seconds,raw_angle,smoothed_angle,pose_detected,new_reach_detected,reach_completed,is_proper_reach
82,3.4166666666666665,45.51518033492292,45.55985325588615,True,False,False,False
83,3.4583333333333335,45.51518033492292,45.4594591623978,True,False,False,False
84,3.5,45.32240215199557,45.461351882069394,True,False,False,False
85,3.5416666666666665,45.32240215199557,45.464273209833834,True,False,False,False
86,3.5833333333333335,45.63159443651001,45.46878896584771,True,False,False,False
87,3.625,45.52978697374512,45.61489097292779,True,False,False,False
88,3.6666666666666665,45.53775911499228,45.82219779497498,True,False,False,False
89,3.7083333333333335,46.05291218739597,45.96766616011929,True,False,False,False
90,3.75,46.35893626223153,46.13349601781657,True,False,False,False
91,3.7916666666666665,46.35893626223153,46.29773144726442,True,False,False,False
92,3.8333333333333335,46.35893626223153,46.42011661321225,True,False,False,False
93,3.875,46.35893626223153,46.48129696419297,True,False,False,False
