frame,time_seconds,raw_angle,smoothed_angle,pose_detected,new_reach_detected,reach_completed,is_proper_reach
35,1.4,40.53620749709375,40.96991458056449,True,False,False,False
36,1.44,40.00891914251254,40.55998320277242,True,False,False,False
37,1.48,39.93475515027302,40.38168085541297,True,False,False,False
38,1.52,40.25293547282957,40.605308064725726,True,False,False,False
39,1.56,41.175587014355955,41.02843687555321,True,False,False,False
40,1.6,41.65434354365753,41.640277444204884,True,False,False,False
41,1.64,42.12456319665001,42.76440247925615,True,False,False,False
42,1.68,42.99395799353135,43.930946924251955,True,False,False,False
43,1.72,45.8735606480859,45.01699678379863,True,False,False,False
44,1.76,47.00830923933494,45.94437838447908,True,False,False,False
45,1.8,47.08459284139093,46.580604944310714,True,False,False,False
46,1.84,46.7614712000523,46.55197260065826,True,False,False,False
47,1.88,46.17509079268954,46.355140552826775,True,False,False,False
48,1.92,45.73039892982356,46.40984902407955,True,False,False,False
49,1.96,46.02414900017754,47.050670702071194,True,False,False,False
50,2.0,47.35813519765482,48.36388657348927,True,False,False,False
51,2.04,49.965579590010506,50.34598424802533,True,False,False,False
52,2.08,52.74117014977993,52.70558231631786,True,False,False,False
53,2.12,55.640887302503856,55.40882749343366,True,False,False,False
54,2.16,57.82213934164019,58.15565794065208,True,False,False,False
55,2.2,60.8743610832338,60.80327989990525,True,False,False,False
56,2.24,63.69973182610261,63.5933906324672,True,False,False,False
57,2.28,65.97927994604579,67.0700888756609,True,False,False,False
58,2.32,69.59144096531362,70.38024403391178,True,False,False,False
59,2.36,75.20563055760876,73.50219373035692,True,False,False,False
60,2.4,77.42513687448816,76.60030000286022,True,False,False,False
61,2.44,79.30948030832828,79.53739418421209,True,False,False,False
62,2.48,81.46981130856224,81.69086395809472,True,False,False,False
63,2.52,84.27691187207297,84.08679792798148,True,False,False,False
64,2.56,85.97297942702197,85.4828346382119,True,False,False,False
65,2.6,89.40480672392195,85.98945327412966,True,False,False,False
66,2.64,86.28966385948037,85.20457705363114,True,False,False,False
67,2.68,84.00290448815113,83.93916476522719,True,False,False,False
68,2.72,80.35253076958033,81.6858037305315,True,False,False,False
69,2.76,79.6459179850022,79.97921611806713,True,False,False,False
70,2.8,78.1380015504435,78.3077264173871,True,False,False,False
71,2.84,77.7567257971585,76.79865604354947,True,False,False,False
72,2.88,75.64545598475105,74.7083144244153,True,False,False,False
73,2.92,72.80717890039219,72.62203040234297,True,False,False,False
74,2.96,69.19420988933128,70.12081703390797,True,False,False,False
75,3.0,67.70658144008182,67.60881265187831,True,False,False,False
76,3.04,65.25065895498345,64.96508695323874,True,False,False,False
77,3.08,63.085434074602816,62.295541752115035,True,False,False,False
78,3.12,59.58855040719433,59.38045168146057,True,False,False,False
79,3.16,55.846483883712736,56.79845647437952,True,False,False,False
80,3.2,53.13113108680952,54.41096446305446,True,False,False,False
81,3.24,52.3406829195782,52.15593946157414,True,False,False,False
82,3.28,51.14797401797756,50.30182865486575,True,False,False,False
83,3.32,48.31342539979275,48.89752936463178,True,False,False,False
84,3.36,46.57592985017072,47.2589071899165,True,False,False,False
85,3.4,46.10963463563968,45.623955040753486,True,False,False,False
86,3.44,44.147572046001784,44.44394869837605,True,False,False,False
87,3.48,42.973213272162496,43.36085258901566,True,False,False,False
88,3.52,42.41339368790557,42.27717034977382,True,False,False,False
89,3.56,41.16044930336875,41.433750776196725,True,False,False,False
90,3.6,40.6912234394305,40.86006852116237,True,False,False,False
91,3.64,39.9304741781163,40.29759240857196,True,False,False,False
92,3.68,40.104801996990716,39.76490595898893,True,False,False,False
93,3.72,39.60101312495354,39.38601159190693,True,False,False,False
94,3.76,38.4970170554536,39.120024121561094,True,False,False,False
95,3.8,38.7967516040205,38.8450925471051,True,False,False,False
96,3.84,38.60053682638713,37.22584296038543,True,False,False,False
97,3.88,38.73014412471073,36.02709800169589,True,False,False,False
98,3.92,31.504765191355176,35.4230921477906,True,False,False,False
99,3.96,32.503292262005914,35.5227326654868,True,False,False,False
100,4.0,35.776722334494025,36.677536258342066,True,False,False,False
101,4.04,39.098739414868135,39.989040637151035,True,False,False,False
102,4.08,44.50416208898707,44.23874687716544,True,False,False,False
103,4.12,48.062287085400044,49.22781032358014,True,False,False,False
